00_glossary.msbt

01_msg_with_voice.msbt
mng_cmn_go	GO!
credit_name_03_12	Miyuki Sakaguchi
credit_name_03_13	Kunio Asahara
credit_name_03_14	Masafumi Ojika
credit_name_03_15	Ayumu Kawashiro
credit_name_03_16	Hideki Izumi
credit_name_03_17	Yuka Murata
credit_name_03_18	Hiroshi Kurimoto
credit_name_03_19	Shigeyasu Ohashi
credit_name_03_20	Yukako Kawauchi
credit_name_03_21	Ryota Saruwatari
credit_name_03_22	Hiroshi Nosaka
credit_name_03_23	Norihito Shima
credit_name_04_00	Yuhei Tsukami
credit_name_05_00	Akira Matsumoto
credit_name_05_01	Haruhiko Tanuma
credit_name_06_00	Masayuki Shinohara
credit_name_06_01	Yuki Konno
credit_name_06_02	Hisashi Yoshida
credit_name_06_03	Tatsuo Yamajiri
credit_name_06_04	Shinichi Hiramori
credit_name_06_05	Yuya Kumagai
credit_name_06_06	Kentaro Tanaka
credit_name_06_07	Shinji Shibasaki
credit_name_06_08	Satoshi Ezaki
credit_name_06_09	Takuya Fujimoto
credit_name_06_10	Momoka Kanaya
credit_name_06_11	Izumi Fukuda
credit_name_06_12	Takashi Iwanaga
credit_name_06_13	Kenji Oohira
credit_name_06_14	Tadao Shoyama
credit_name_06_15	Akihiro Terada
credit_name_06_16	Yasutaka Ikeda
credit_name_06_17	Norihumi Hira
credit_name_06_18	Tomoaki Tanaka
credit_name_06_19	Daizo Yamauchi
credit_name_06_20	Nobuya Wada
credit_name_06_21	Kana Mizota
credit_name_06_22	Takahiro Matsumoto
credit_name_06_23	Sayaka Fukuyama
credit_name_06_24	Hikaru Hino
credit_name_06_25	Souichiro Yamamoto
credit_name_06_26	Satoshi Sakaguchi
credit_name_06_27	Hiroyuki Watanabe
credit_name_06_28	Aya Yoshii
credit_name_06_29	Takanori Kikuchi
credit_name_06_30	Takeshi Kawamoto
credit_name_06_31	Tsutomu Kawamoto
credit_name_06_32	Takanori Ode
credit_name_06_33	Takayuki Hayase
credit_name_06_34	Kazuki Tashiro
credit_name_06_35	Tetsuya Kimura
credit_name_06_36	Atsushi Hamada
credit_name_06_37	Yukihiko Tani
credit_name_07_00	Keisuke Kasahara
credit_name_08_00	Takamitsu Manabe
credit_name_08_01	Masahiko Yamada
credit_name_08_02	Tomoaki Watanabe
credit_name_08_03	Saori Yamashita
credit_name_08_04	Takahiro Karino
credit_name_08_05	Masayuki Tsuboi
credit_name_08_06	Masami Kodaira
credit_name_09_00	Shunsaku Yamamoto
credit_name_09_01	Kazuhisa Okamoto
credit_name_09_02	Seiya Yuasa
credit_name_09_03	Ami Matsuda
credit_name_09_04	Toshifumi Sekijima
credit_name_09_05	Kazuaki Henmi
credit_name_09_06	Hayato Ogawa
credit_name_09_07	Huichung Lee
credit_name_09_08	Takuya Funaki
credit_name_09_09	Masayasu Ban
credit_name_09_10	Nana Tanaka
credit_name_09_11	Shizuka Abe
credit_name_09_12	Mari Inomata
credit_name_09_13	Tsuyoshi Mizuguchi
credit_name_09_14	Arata Kobayashi
credit_name_09_15	Tsukasa Tanaka
credit_name_09_16	Mikio Kita
credit_name_09_17	Keisuke Izaki
credit_name_09_18	Yasuhiro Ando
credit_name_09_19	Yoshinori Ikeshita
credit_name_09_20	Hideki Morinaga
credit_name_09_21	Yurie Ito
credit_name_09_22	Takuya Tawaratsumida
credit_name_09_23	Shohei Higashi
credit_name_09_24	Shinsuke Miyazaki
credit_name_09_25	Sho Nakamura
credit_name_09_26	Saki Watanabe
credit_name_09_27	Miki Kita
credit_name_09_28	Akira Mizoguchi
credit_name_09_29	Shouichi Kawamura
credit_name_09_30	Yumi Futagawa
credit_name_09_31	Senei Sou
credit_name_09_32	Tadashi Miura
credit_name_09_33	Keisuke Yonaha
credit_name_09_34	Yoshinori Hirai
credit_name_09_35	Arisa Kurosu
credit_name_09_36	Shiori Teramoto
credit_name_09_37	Yuka Shimazaki
credit_name_09_38	Takumi Akiyama
credit_name_09_39	Motoi Tashiro
credit_name_09_40	Risa Takei
credit_name_09_41	Ryoichi Okayama
credit_name_09_42	Chika Kawase
credit_name_09_43	Sumihiro Kawai
credit_name_09_44	Kazuhiro Nagata
credit_name_09_45	Takanori Goto
credit_name_09_46	Hiroaki Miura
credit_name_09_47	Takaya Iwamoto
credit_name_09_48	Shun Matsumoto
credit_name_09_49	Mizuki Hasegawa
credit_name_09_50	Mizuki Tachi
credit_name_09_51	Mayuko Muramatsu
credit_name_09_52	Mu Ueno
credit_name_09_53	Ryo Yoshida
credit_name_09_54	Ryo Tsukagoshi
credit_name_09_55	Kentaro Narimatsu
credit_name_09_56	Yusuke Hashimoto
credit_name_09_57	Yuki Nonaka
credit_name_09_58	Manabu Konno
credit_name_09_59	Sachiko Matsui
credit_name_09_60	Hiroki Maeda
credit_name_09_61	Yohei Fujimoto
credit_name_09_62	Yasutaka Nozawa
credit_name_09_63	Yu Yamaguchi
credit_name_09_64	Yurai Matsui
credit_name_09_65	Shiu Kan
credit_name_09_66	Kaoru Akimoto
credit_name_09_67	Takayoshi Matsuo
credit_name_09_68	Yoshinori Higaki
credit_name_09_69	Kaishi Yamamura
credit_name_09_70	Shoki Takada
credit_name_09_71	Yuki Tomo
credit_name_09_72	Yuki Kinoshita
credit_name_09_73	Keisuke Hayashi
credit_name_09_74	Tomoka Sukegawa
credit_name_09_75	Masaya Sakuma
credit_name_09_76	Qifeng Zheng
credit_name_09_77	Nagisa Morimoto
credit_name_09_78	Kiyoiku Kanematsu
credit_name_09_79	Itchiku Miyamoto
credit_name_10_00	Hiroyuki Tsuboguchi
credit_name_11_00	Yuhki Mori
credit_name_11_01	Ichiro Shimakura
credit_name_11_02	Takahiro Nagano
credit_name_12_00	Chamy Ishi
credit_name_13_00	Toshiki Aida
credit_name_13_01	Satoshi Okubo
credit_name_13_02	Naruki Kadosaka
credit_name_14_00	Tomomitsu Matsushita
credit_name_14_01	Kotaro Baba
credit_name_14_02	Shohei Niigawa
credit_name_14_03	Taisuke Kobayashi
credit_name_15_00	Koji Kondo
credit_name_15_01	Ryoji Yoshitomi
credit_name_15_02	Megumi Inoue
credit_name_16_00	Charles Martinet
credit_name_16_01	Sam Kelly
credit_name_16_02	Deanna Mustard
credit_name_16_03	Laura Faye Smith
credit_name_16_04	Kenny James
credit_name_16_05	Caety Sagoian
credit_name_16_06	Kazumi Totaka
credit_name_16_07	Takashi Nagasako
credit_name_16_08	Katsumi Suzuki
credit_name_16_09	Motoki Takagi
credit_name_16_10	Nate Bihldorff
credit_name_16_11	Sanae Uchida
credit_name_16_12	Haruka Kakinuma
credit_name_16_13	Atsushi Masaki
credit_name_16_14	Tadd Morgan
credit_name_16_15	Masafumi Kawamura
credit_name_16_16	Ryo Nagamatsu
credit_name_16_17	Hirohito Shinoda
credit_name_16_18	Yuki Tsuji
credit_name_16_19	Shigetoshi Gohara
credit_name_17_00	Dutch Hixenbaugh
credit_name_17_01	Josée Lebeau-Bédard
credit_name_17_02	Cristina Pohlenz Garcia
credit_name_17_03	Samantha Robertson
credit_name_17_04	Thaddée Wiseur
credit_name_17_05	Sabrina Jouillat
credit_name_17_06	Kent Robello
credit_name_17_07	Sebastian Schürg
credit_name_17_08	Álex Hernández-Puertas
credit_name_17_09	Carsten Harmans
credit_name_17_10	Victoria Valeria Becker
credit_name_18_00	Kanae Dohta
credit_name_19_00	Kazue Ohara
credit_name_19_01	Ryusuke Yoshida
credit_name_19_02	Shigehisa Nakaue
credit_name_19_03	Yuri Adachi
credit_name_19_04	Takumi Wada
credit_name_19_05	Yu Yamamoto
credit_name_20_00	Nanako Tokuno
credit_name_21_00	Toru Inage
credit_name_22_00	Nate Bihldorff
credit_name_22_01	Reiko Ninomiya
credit_name_22_02	Rich Amtower
credit_name_22_03	Ann Lin
credit_name_22_04	Tim O'Leary
credit_name_22_05	Scot Ritchey
credit_name_23_00	Lauren Ammerman
credit_name_23_01	Michael Benedetto
credit_name_23_02	Billy Carroll
credit_name_23_03	Rich Comegys
credit_name_23_04	Owen Cooney
credit_name_23_05	Marjolaine Drouin
credit_name_23_06	Robert Heiret
credit_name_23_07	Lars Knudson
credit_name_23_08	Nich Maragos
credit_name_23_09	Morgan Ritchie
credit_name_23_10	Elina Sánchez
credit_name_24_00	Nicko Gonzalez De Santiago
credit_name_24_01	Sara Hoad
credit_name_24_02	Veronica Reyes
credit_name_24_03	Paloma Hernandez
credit_name_24_04	Ludovic Tientcheu
credit_name_24_05	Josée Lebeau-Bédard
credit_name_24_06	Morel Takougang
credit_name_25_00	Patrick Thorenz
credit_name_25_01	Saskia Doorschodt
credit_name_25_02	Kevin Murray
credit_name_25_03	Ryoko Sawabe
credit_name_26_00	Roby Liebetruth
credit_name_26_01	Martina Leonor Bassani
credit_name_26_02	John Mullen
credit_name_26_03	Jo Legge
credit_name_26_04	Gurvan Le Guen
credit_name_26_05	Sabrina Jouillat
credit_name_26_06	Emmanuel Adien
credit_name_26_07	Florence d'Anterroches
credit_name_26_08	Alessandro Pagano
credit_name_26_09	Mirko Capocelli
credit_name_26_10	Tito Leati
credit_name_26_11	Frithjof Koepp
credit_name_26_12	Jessica Morandi
credit_name_26_13	Sascha Weinard
credit_name_26_14	Arne Glinka
credit_name_26_15	Ariel del Rio de Angelis
credit_name_26_16	Elizabeth Sánchez León
credit_name_26_17	Sara Sainz Nieto
credit_name_26_18	José Manuel Malagón León
credit_name_26_19	Jónatan Marcos Millán
credit_name_26_20	Marijke Pustjens
credit_name_26_21	Mark Hoefsteders
credit_name_26_22	Thomas den Haan
credit_name_26_23	Carsten Harmans
credit_name_26_24	Victoria Valeria Becker
credit_name_26_25	Tatiana Dornbusch
credit_name_26_26	Elsa Jödicke
credit_name_26_27	Localsoft, S.L.
credit_name_27_00	Jeanie Ho
credit_name_27_01	Monica Lai
credit_name_27_02	Claudia Chan
credit_name_27_03	Pole To Win Taiwan
credit_name_28_00	Mike Kan
credit_name_29_00	Keisuke Fukushima
credit_name_29_01	Qiu Xiaochun
credit_name_29_02	Ling Yayun
credit_name_29_03	Zhang Jiong
credit_name_29_04	Pole To Win Shanghai Co., Ltd.
credit_name_30_00	Hyokjin Jung
credit_name_30_01	Soonil Kim
credit_name_30_02	Narae Won
credit_name_30_03	Dongyeon Kim
credit_name_30_04	Eodo Lee
credit_name_30_05	Kyoungim Na
credit_name_30_06	Pole To Win Korea Co., Ltd.
credit_name_31_00	Inseon Song
credit_name_31_01	Suzy Do
credit_name_32_00	Tsuyoshi Komura
credit_name_32_01	Tohru Takahashi
credit_name_32_02	Nobuya Sasaki
credit_name_32_03	Kanta Yokota
credit_name_32_04	Tomohiro Hirao
credit_name_32_05	Noriko Fujimatsu
credit_name_32_06	Hideaki Fukushima
credit_name_32_07	Mami Koguchi
credit_name_32_08	Mitsutoshi Asai
credit_name_32_09	Emika Yamamoto
credit_name_32_10	Mario Club Co., Ltd.
credit_name_32_11	Shinpei Otowa
credit_name_32_12	Soma Kitakoji
credit_name_32_13	Shota Inagaki
credit_name_32_14	Risa Miyata
credit_name_32_15	Toru Moritani
credit_name_32_16	DIGITAL HEARTS Co.,Ltd.
credit_name_33_00	Kentaro Nishimura
credit_name_33_01	Kirk Buchanan
credit_name_33_02	Q Dequina
credit_name_33_03	Tomoko Mikami
credit_name_33_04	Ryan Dean
credit_name_33_05	James Dillon
credit_name_33_06	Daijiro Imoto
credit_name_33_07	Kathy Huguenard
credit_name_33_08	Douglas Lynn
credit_name_33_09	Paul Gardner
credit_name_33_10	Micah Kenworthy
credit_name_33_11	Kaitlynn Ham
credit_name_33_12	Product Testing Technicians
credit_name_34_00	J. Ignacio León López
credit_name_34_01	Wolfgang Weber
credit_name_34_02	Jérôme Petit
credit_name_34_03	Yannick Simonklein
credit_name_34_04	Stéphane Zussy
credit_name_34_05	Gabriele Cuscino
credit_name_34_06	Sandra Pommer
credit_name_34_07	Hannah Siebert
credit_name_34_08	Zoran Tasevski
credit_name_34_09	Daniel Picazo Millán
credit_name_34_10	Keywords Studios
credit_name_35_00	Takayasu Morisawa
credit_name_35_01	Takumi Kawagoe
credit_name_35_02	Tomoe Aratani
credit_name_35_03	Team Cococii
credit_name_35_04	Jeff Miller
credit_name_35_05	Hideki Sahashi
credit_name_35_06	Osamu Tsuchihashi
credit_name_35_07	Osamu Tsujikawa
credit_name_35_08	Shigeru Okita
credit_name_35_09	Hisao Hasunuma
credit_name_35_10	Mitsuo Hasunuma
credit_name_35_11	Noriyuki Saeki
credit_name_35_12	Tatsuo Masuda
credit_name_35_13	Hirotaka Nakayama
credit_name_35_14	Jun Arai
credit_name_35_15	Shinobu Kojima
credit_name_35_16	Kei Yonezuka
credit_name_35_17	Makoto Suda
credit_name_35_18	Kazuhisa Tomita
credit_name_35_19	CA PRODUCTION Co.,Ltd.
credit_name_35_20	WILL Co.,Ltd.
credit_name_35_21	SmileBoom Co.Ltd.
credit_name_35_22	Magnum enter Co.,Ltd.
credit_name_35_23	T's MUSIC Co.,Ltd.
credit_name_36_00	Miyuki Hirose
credit_name_36_01	Yoshinori Tsuchiyama
credit_name_36_02	Misaki Hiraga
credit_name_37_00	Kazuyuki Gofuku
credit_name_38_00	Yoshiaki Onishi
credit_name_39_00	Atsushi Ikeda
credit_name_39_01	Kenji Kikuchi
credit_name_39_02	Toshiaki Suzuki
credit_name_39_03	Toyokazu Nonaka
credit_name_39_04	Keisuke Terasaki
credit_name_40_00	Shinya Takahashi
credit_name_41_00	Hidetoshi Endo
credit_name_41_01	Tatsumi Kimishima
bdcn001_msg.msbt
bdcn001_mginter002	Faster!
bdcn_mgname_001	[mg0]
mgcn401_guide001	Pull the tablecloth!
mgcn402_guide001	Hit the blocks!
mgcn403_guide001	Skewer the fruit!
mgcn404_guide001	Flip the panel!
mgcn405_guide001	Strike a pose!
mgcn406_guide001	Slam the moles!
mgcn407_guide001	Hit the pitches!
mgcn408_guide001	Wipe the windows!
mgcn409_guide001	March!
mgcn410_guide001	Pull the reins!
bdcn001_hit02	Early
bdcn001_hit03	Late
bdcn001_hit01	&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿNice!&#xE;&#x0;&#x3;&#x4;&#x0;&#x1E;&#x14;ÿ
bdcn001_demo_001	Pump your fist to the beat!
bdcn001_pccall_001	Are you ready, &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿ[n0]&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ?
bdcn001_pccall_002	How about you, &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿ[n0]&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ?
bdcn001_pccall_003	And you, &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿ[n0]&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ?
bdcn001_pccall_004	&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿ[n0]&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ!
bdcn001_opmc_002	&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿTime to take the ultimate stage!&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ
bdcn001_mc_001	Another packed house today!
bdcn001_mc_002	It's almost showtime!
bdcn001_result_001	Results
bdcn001_result_002	Total
bdcn001_result_003	Normal
bdcn001_result_004	Remix
bdcn001_result_005	Hard
bdcn001_result_006	Sound Stage
bdcn001_result_perc000	[0].[1]%
bdcn_result_pos001	[0]
bdcn_result_total001	[0]
bdcn_result_total002	[0]
bdcn001_resmoni_000	The winner is...
bdcn001_resmoni_000_p	The winners are...
bdcn001_resmoni_001	No winner this time...
bdcn001_cdown_000	START!
bdcn001_cdown_001	1
bdcn001_cdown_002	2
bdcn001_cdown_003	3
mgcn401_cdown_000	[0]
mgcn409_tlp_001	March
mgcn409_tlp_002	Stop
bdcn001_levelmess_000	&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿ[n0]&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ, how tough a&#xD;\nperformance are you up for?
bdcn001_levelmess_001	&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿ[n0]&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ, how tough a&#xD;\nperformance are you up for?
bdcn001_levelmess_002	What's next for you,&#xD;\n&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿ[n0]&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ?
bdcn001_level_000	Normal
bdcn001_level_001	Remix
bdcn001_level_002	Hard
bdr001_msg.msbt
bdr001_tlp_06	Time Bonus!
bdr001_sys_01	Time Bonus!
bdr001_st_02	3
bdr001_st_03	2
bdr001_st_04	1
bdr001_st_05	GO!
bdr001_ms_00	Hello, rafters! Welcome to &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿRiver Survival&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ!
bdr001_ms_20	Is this your first time rafting&#xD;\nthese waters?
bdr001_ms_21	Yes
bdr001_ms_22	No
bdr001_ms_23	This spot has a long history of being used as a&#xD;\nlaunching point for river expeditions.
bdr001_ms_24	The gentle flow and the fresh air out here might&#xD;\nmake you think river rafting will be a breeze.
bdr001_ms_35	&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿThink again!&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ
bdr001_ms_25	Past this point, things get downright turbulent!
bdr001_ms_26	You'll be up against raging rapids,&#xD;\nrocky obstacles...
bdr001_ms_27	and very territorial wildlife. &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿDanger awaits&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ!
bdr001_ms_29	It's actually pretty nerve-racking...
bdr001_ms_30	*cough* *cough*
bdr001_ms_31	Every so often, the river will branch off.
bdr001_ms_32	There are so many branches down this river,&#xD;\nwe still haven't figured them all out!
bdr001_ms_33	Everyone, keep a clear head and you'll &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿsurvive&#xD;\n&#xE;&#x0;&#x3;&#x4;ÿÿÿÿthis together!
bdr001_ms_15	Just to be sure, does everybody know the rules&#xD;\nfor rafting?
bdr001_ms_19	Review the rules?
bdr001_ms_02	Yes
bdr001_ms_03	No
bdr001_ms_04	Use your oar to paddle the raft.
bdr001_ms_06	When the clock runs out,&#xD;\nyour expedition is over.
bdr001_ms_05	Pop &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿballoons &#xE;&#x0;&#x3;&#x4;ÿÿÿÿto play minigames!
bdr001_ms_34	Depending on how well you do in minigames,&#xD;\nyou'll get extra time on the clock!
bdr001_ms_09	The key to river rafting is &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿcooperation&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ.
bdr001_ms_10	Here, let's practice acting as one!
bdr001_ms_11	Yep! Just like that!
bdr001_ms_14	Whoops, we were a little out of sync there.
bdr001_ms_18	But cheering each other on is surprisingly&#xD;\nimportant on a river excursion!
bdr001_ms_17	Oh! We're getting close to the starting line!
bdr001_ms_12	&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿIt's us against the river!&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ
bdr001_result_01	[0]m
bdr001_gm_01	Paddle to escape the Mega Blooper!
bdr001_m_map00	[0]m
bdr001_result01	 Exit
bdr001_ct_a01	Gentle Beginning
bdr001_ct_b01	Waterfall Plunge
bdr001_ct_b02	Cheep Cheep Schools
bdr001_ct_c01	Rugged Ramps
bdr001_ct_c02	High-Flying Balloons
bdr001_ct_c03	Rapids Run
bdr001_ct_d01	Breakneck Pace
bdr001_ct_d02	Rocky Sailing
bdr001_ct_d03	Blooper Pools
bdr001_ct_d04	Eye of the Needle
bdr001_ct_e01	Jumping Jeopardy
bdr001_ct_e02	Monster Attack!
bdr001_ct_e03	Kamek's Curse
bdr001_ct_e04	Cheep Cheep Swarms
bdr001_ct_e05	Beyond the Jungle
bdr001_re_01	Results
bdr001_re_02	 Your Route
bdr001_re_03	Details 
bdr001_re_04	Your Route
bdr001_re_05	Details
bdr001_re_06	Times Paddled
bdr001_re_07	[0] times
bdr001_re_08	Balloons Hit
bdr001_re_09	1
bdr001_re_10	2
bdr001_re_11	3
bdr001_re_12	4
bdr001_re_13	5
bdr001_re_14	[0]/[1]/[2]
bdr001_re_15	[0]/[1]/[2]
bdr001_re_16	 Zoom
bdr001_re_17	Waterfall Plunge
bdr001_re_18	Waterfall Plunge
bdr001_re_19	Beyond the Jungle
bdr001_re_20	Beyond the Jungle
bdr001_pata_tl	Koopa Paratroopa&#xD;\nbrought a camera!
bdr001_re_21	?
bdr001_pata_tl_2	Get in the photo!
bds001_cmn_terms.msbt
bds001_stg00_01	Whomp's Domino Ruins
bds001_stg00_01_w	Domino Ruins Treasure Hunt
bds001_stg00_02	King Bob-omb's Powderkeg Mine
bds001_stg00_02_w	Gold Rush Mine
bds001_stg00_03	Megafruit Paradise
bds001_stg00_03_w	Watermelon Walkabout
bds001_stg00_04	Kamek's Tantalizing Tower
bds001_stg00_04_w	Tantalizing Tower Toys
bds001_itm00	Dash Mushroom
bds001_itm01	Golden Dash Mushroom
bds001_itm02	Poison Mushroom
bds001_itm03	Coinado
bds001_itm04	Super Coinado
bds001_itm05	Golden Pipe
bds001_itm06	Warp Box
bds001_itm07	Double Card
bds001_itm08	Dueling Glove
bds001_itm12	Ally Phone
bds001_itm13	Golden Drink
bds001_itm14	Fly Guy Ticket
bds001_itm15	Peepa Bell
bds001_itm17	Hidden Block Card
bds001_itm18	Custom Dice Block
bds001_itm19	Treasure Key
bds001_itm20	Silver Pick
bds001_itm21	Pickaxe
bds001_itm22	Door Key
bds001_itm23	Capsule Ticket
bds001_dice01	Mario Dice Block
bds001_dice02	Luigi Dice Block
bds001_dice03	Peach Dice Block
bds001_dice04	Daisy Dice Block
bds001_dice05	Wario Dice Block
bds001_dice06	Waluigi Dice Block
bds001_dice07	Yoshi Dice Block
bds001_dice10	Diddy Kong Dice Block
bds001_dice11	Rosalina Dice Block
bds001_dice12	Donkey Kong Dice Block
bds001_dice50	Bowser Dice Block
bds001_dice51	Goomba Dice Block
bds001_dice52	Shy Guy Dice Block
bds001_dice53	Koopa Troopa Dice Block
bds001_dice54	Monty Mole Dice Block
bds001_dice55	Dry Bones Dice Block
bds001_dice56	Bowser Jr. Dice Block
bds001_dice58	Boo Dice Block
bds001_dice59	Hammer Bro Dice Block
bds001_dice60	Pom Pom Dice Block
bds001_dice00	Normal Dice Block
bds001_msg.msbt
bds001_stgskp	/ Skip
bds001_tmname	Team [n0]
bds001_st1_100	Welcome to the &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿJungle Adventure&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ, a thrilling&#xD;\n&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿtest of teamwork&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ!
bds001_st1_101	Is this your first time here as a &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿteam&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ?
bds001_st1_101_a	Yes
bds001_st1_101_b	No
bds001_st1_102	Our researchers have discovered &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿnew challenges&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ&#xD;\nfor teams to master in these ancient ruins.
bds001_st1_103	&#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿPriceless treasures &#xE;&#x0;&#x3;&#x4;ÿÿÿÿare there for the taking, for those&#xD;\nwith the keys to unlock them.
bds001_st1_104	Just one small problem—the huge &#xE;&#x0;&#x3;&#x4;ÿÜ&#xF;ÿWhomps blocking your&#xD;\nteam's way&#xE;&#x0;&#x3;&#x4;ÿÿÿÿ!
